Revised Common Lectionary
Scripture Citations for Year B - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2026-27/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Proper 7 (12)","Jun 20, 2027","1 Samuel 17:(1a, 4-11, 19-23), 32-49 Psalm 9:9-20 or 1 Samuel 17:57-18:5, 18:10-16 Psalm 133","Job 38:1-11 Psalm 107:1-3, 23-32","2 Corinthians 6:1-13","Mark 4:35-41",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp07,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_7
"Proper 8 (13)","Jun 27, 2027","2 Samuel 1:1, 17-27 Psalm 130","Wisdom of Solomon 1:13-15, 2:23-24 or Lamentations 3:22-33 Psalm 30","2 Corinthians 8:7-15","Mark 5:21-43",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp08,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_8
"Proper 9 (14)","Jul 04, 2027","2 Samuel 5:1-5, 9-10 Psalm 48","Ezekiel 2:1-5 Psalm 123","2 Corinthians 12:2-10","Mark 6:1-13",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp09,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_9
"Proper 10 (15)","Jul 11, 2027","2 Samuel 6:1-5, 12b-19 Psalm 24","Amos 7:7-15 Psalm 85:8-13","Ephesians 1:3-14","Mark 6:14-29",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp10,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_10
"Proper 11 (16)","Jul 18, 2027","2 Samuel 7:1-14a Psalm 89:20-37","Jeremiah 23:1-6 Psalm 23","Ephesians 2:11-22","Mark 6:30-34, 53-56",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp11,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_11
"Proper 12 (17)","Jul 25, 2027","2 Samuel 11:1-15 Psalm 14","2 Kings 4:42-44 Psalm 145:10-18","Ephesians 3:14-21","John 6:1-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp12,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_12
"Proper 13 (18)","Aug 01, 2027","2 Samuel 11:26 &#8211; 12:13a Psalm 51:1-12","Exodus 16:2-4, 9-15 Psalm 78:23-29","Ephesians 4:1-16","John 6:24-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp13,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_13
"Proper 14 (19)","Aug 08, 2027","2 Samuel 18:5-9, 15, 31-33 Psalm 130","1 Kings 19:4-8 Psalm 34:1-8","Ephesians 4:25-5:2","John 6:35, 41-51",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp14,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_14
"Proper 15 (20)","Aug 15, 2027","1 Kings 2:10-12; 3:3-14 Psalm 111","Proverbs 9:1-6 Psalm 34:9-14","Ephesians 5:15-20","John 6:51-58",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp15,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_15
"Proper 16 (21)","Aug 22, 2027","1 Kings 8:(1,6,10-11), 22-30, 41-43 Psalm 84","Joshua 24:1-2a, 14-18 Psalm 34:15-22","Ephesians 6:10-20","John 6:56-69",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp16,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_16
"Proper 17 (22)","Aug 29, 2027","Song of Solomon 2:8-13 Psalm 45:1-2, 6-9","Deuteronomy 4:1-2, 6-9 Psalm 15","James 1:17-27","Mark 7:1-8, 14-15, 21-23",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp17,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_17
"Proper 18 (23)","Sep 05, 2027","Proverbs 22:1-2, 8-9, 22-23 Psalm 125","Isaiah 35:4-7a Psalm 146","James 2:1-10, (11-13), 14-17","Mark 7:24-37",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp18,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_18
"Proper 19 (24)","Sep 12, 2027","Proverbs 1:20-33 Psalm 19 or Wisdom of Solomon 7:26 &#8211; 8:1","Isaiah 50:4-9a Psalm 116:1-9","James 3:1-12","Mark 8:27-38",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp19,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_19
"Holy Cross","Sep 14, 2027","Numbers 21:4b-9 Psalm 98:1-5 or Psalm 78:1-2, 34-38","","1 Corinthians 1:18-24","John 3:13-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHoCr,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=holy_cross_a
"Proper 20 (25)","Sep 19, 2027","Proverbs 31:10-31 Psalm 1","Wisdom of Solomon 1:16-2:1, 12-22 or Jeremiah 11:18-20 Psalm 54","James 3:13-4:3, 7-8a","Mark 9:30-37",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp20,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_20
"Proper 21 (26)","Sep 26, 2027","Esther 7:1-6, 9-10; 9:20-22 Psalm 124","Numbers 11:4-6, 10-16, 24-29 Psalm 19:7-14","James 5:13-20","Mark 9:38-50",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp21,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_21
"Proper 22 (27)","Oct 03, 2027","Job 1:1, 2:1-10 Psalm 26","Genesis 2:18-24 Psalm 8","Hebrews 1:1-4, 2:5-12","Mark 10:2-16",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp22,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_22
"Proper 23 (28)","Oct 10, 2027","Job 23:1-9, 16-17 Psalm 22:1-15","Amos 5:6-7, 10-15 Psalm 90:12-17","Hebrews 4:12-16","Mark 10:17-31",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp23,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_23
"Canadian Thanksgiving Day","Oct 11, 2027","Joel 2:21-27 Psalm 126","","1 Timothy 2:1-7","Matthew 6:25-33",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BTDay,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=canadian_thanksgiving_day
"Proper 24 (29)","Oct 17, 2027","Job 38:1-7, (34-41) Psalm 104:1-9, 24, 35c","Isaiah 53:4-12 Psalm 91:9-16","Hebrews 5:1-10","Mark 10:35-45",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp24,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_24
"Proper 25 (30)","Oct 24, 2027","Job 42:1-6, 10-17 Psalm 34:1-8, (19-22)","Jeremiah 31:7-9 Psalm 126","Hebrews 7:23-28","Mark 10:46-52",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp25,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_25
"Proper 26 (31)","Oct 31, 2027","Ruth 1:1-18 Psalm 146","Deuteronomy 6:1-9 Psalm 119:1-8","Hebrews 9:11-14","Mark 12:28-34",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BProp26,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=proper_26
"All Saints Day","Nov 01, 2027","Wisdom of Solomon 3:1-9 Psalm 24 or Isaiah 25:6-9","","Revelation 21:1-6a","John 11:32-44",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAllS,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=season_after_pentecost&d=all_saints_day
