Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Trinity Sunday","Jun 15, 2025","Proverbs 8:1-4, 22-31 Psalm 8","","Romans 5:1-5","John 16:12-15",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CTrin,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=pentecost1
"Proper 7 (12)","Jun 22, 2025","1 Kings 19:1-4, (5-7), 8-15a Psalm 42 and 43","Isaiah 65:1-9 Psalm 22:19-28","Galatians 3:23-29","Luke 8:26-39",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp07,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_7
"Proper 8 (13)","Jun 29, 2025","2 Kings 2:1-2, 6-14 Psalm 77:1-2, 11-20","1 Kings 19:15-16, 19-21 Psalm 16","Galatians 5:1, 13-25","Luke 9:51-62",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp08,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_8
"Proper 9 (14)","Jul 06, 2025","2 Kings 5:1-14 Psalm 30","Isaiah 66:10-14 Psalm 66:1-9","Galatians 6:(1-6), 7-16","Luke 10:1-11, 16-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp09,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_9
"Proper 10 (15)","Jul 13, 2025","Amos 7:7-17 Psalm 82","Deuteronomy 30:9-14 Psalm 25:1-10","Colossians 1:1-14","Luke 10:25-37",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp10,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_10
"Proper 11 (16)","Jul 20, 2025","Amos 8:1-12 Psalm 52","Genesis 18:1-10a Psalm 15","Colossians 1:15-28","Luke 10:38-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp11,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_11
"Proper 12 (17)","Jul 27, 2025","Hosea 1:2-10 Psalm 85","Genesis 18:20-32 Psalm 138","Colossians 2:6-15, (16-19)","Luke 11:1-13",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp12,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_12
"Proper 13 (18)","Aug 03, 2025","Hosea 11:1-11 Psalm 107:1-9, 43","Ecclesiastes 1:2, 12-14; 2:18-23 Psalm 49:1-12","Colossians 3:1-11","Luke 12:13-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp13,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_13
"Proper 14 (19)","Aug 10, 2025","Isaiah 1:1, 10-20 Psalm 50:1-8, 22-23","Genesis 15:1-6 Psalm 33:12-22","Hebrews 11:1-3, 8-16","Luke 12:32-40",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp14,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_14
"Proper 15 (20)","Aug 17, 2025","Isaiah 5:1-7 Psalm 80:1-2, 8-19","Jeremiah 23:23-29 Psalm 82","Hebrews 11:29-12:2","Luke 12:49-56",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp15,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_15
"Proper 16 (21)","Aug 24, 2025","Jeremiah 1:4-10 Psalm 71:1-6","Isaiah 58:9b-14 Psalm 103:1-8","Hebrews 12:18-29","Luke 13:10-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp16,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_16
